Aileron,B,C,D,E,F
28,271.42,7,19.04,110.173,13.5275
5,87.36,7,19.16,-59.7981,-41.8711
0,47.3,6,10.29,-46.3592,-18.7303
21,215.07,19,127.19,50.5339,45.5009
3,71.32,21,145.41,-44.3277,-56.7367
2,63.25,20,136.31,26.5755,81.7908
38,351.5,19,127.42,-21.5958,-4.19779
29,279.48,6,10.34,32,55.4256
11,135.22,36,279.98,-66.745,-5.83943
16,175.04,31,235.53,40.1648,12.2796
11,135.54,8,28.06,-20.983,-16.9916
33,311.49,1,44.25,-44.1304,-82.997
5,87.06,3,-16.88,82.7239,14.5864
36,335.52,18,118.24,59.1036,75.649
31,295.37,6,10.23,-12.2873,-8.60364
15,167.49,26,190,-31.5243,-12.7366
17,183.47,8,28.55,-64.0395,-15.9668
13,151.54,25,181.22,-38.1919,-40.9558
22,223.25,28,208.27,-17.7984,-12.9313
16,175.21,5,1.25,-4.23936,-6.78438
12,143.5,30,226.32,40.2562,26.1427
4,79.33,4,-7.71,-49.7073,-21.0995
18,191.15,14,82.15,-33.3283,-86.823
22,223.54,30,226.12,-94.6742,-28.9448
26,254.97,17,109.01,-17.4653,-4.35459
20,207.43,3,-16.51,-46.6288,-37.7592
13,151.17,15,91.28,3.94535,8.08914
21,215.55,26,190.5,-10.5984,-16.961
35,327.47,0,-43.53,21.3526,52.8495
3,70.97,2,-25.98,1.96325,0.381618
11,135.49,21,145.5,-86.5462,-28.1205
38,351.41,13,73.52,67.1318,23.1153
29,279.32,31,235.38,0.898794,0.438371
19,199.49,16,100.55,19,32.909
19,199.44,39,307.17,-3.85673,-4.59626
0,47.05,2,-25.85,3.97809,0.418113
39,359.56,7,19.32,74.5609,31.6492
24,239.42,4,-7.44,91.4909,35.12
30,287.29,2,-25.51,-35.7929,-80.392
23,231.26,19,127.22,21.4122,23.7806
10,127.26,35,271.4,-20.131,-29.8453
18,270,12,63.98,-42.7482,-71.1449
39,359.44,37,289.18,-39.3193,-27.5317
19,199.09,30,225.99,-10.5984,-16.961
22,223.5,7,19.24,44.5503,22.6995
16,174.97,28,208.5,-61.4364,-43.0182
33,311.34,22,154.04,-11.1472,-10.037
10,127.51,25,181.51,-17.0771,-8.32905
25,247.43,0,-43.55,34.2321,73.4109
8,111.45,4,-7.92,34.6483,34.6482
36,335.49,21,145.08,49.9683,34.9881
22,223.47,2,-25.44,62.6409,54.4529
27,263.27,0,-43.56,89.6421,20.6955
6,94.97,27,199.24,47.2363,54.3391
39,359.07,18,118.51,78.6386,55.0633
11,135.49,17,109.47,-9.39693,-3.4202
24,239.53,19,127.1,31.1127,31.1127
20,206.97,0,-43.93,-61.495,-46.3397
34,319.18,8,28.18,-32.4823,-58.5995
7,103.48,18,118.05,-7.88412,-20.5388
28,271.05,4,-8.02,6.7984,20.9232
13,151.3,1,-34.49,-58.3128,-45.5589
13,151.39,8,28.14,44.6717,61.4853
12,143.13,7,19.09,-44.1158,-67.9323
12,143.45,6,10.38,-23.7944,-73.2313
12,143.53,1,-34.6,-8.08915,-3.94534
17,183.31,33,252.97,-58.1127,-50.5165
20,206.98,34,261.97,-13.1657,-25.8392
29,279.02,1,-34.76,29.0781,43.1099
11,135.28,8,28.29,57.6766,19.8596
24,239.06,18,118,48.2136,19.4795
19,199.13,26,190.21,24.4126,45.9133
15,167.46,18,118.3,27.0381,37.2148
28,271.35,8,28.53,-31.7404,-43.6869
13,151.37,22,154.05,-30.78,-34.1846
16,175.27,10,46.44,-76.9666,-42.6632
18,191.2,25,181.4,-18.2709,-8.13473
12,143.56,5,1.55,3.76223,10.3366
14,159.14,3,-16.69,39.7118,13.6739
13,151.46,20,136.55,35.1201,91.4909
34,319.31,22,154.08,-29.6307,-4.69303
8,111.32,0,-43.94,-68.3285,-9.60294
1,55.01,14,82.09,88.8182,41.4166
20,207.39,1,-34.63,-14.3446,-4.38557
8,111.02,35,271.12,-77.9296,-52.5641
23,231.33,7,19.15,-0.669131,-0.743144
39,359.39,9,37.3,0,0
31,295.36,17,109.06,62.2556,43.5918
16,175.32,11,55.3,-3.09018,-9.51056
5,87.05,1,-34.74,-63.3956,-55.1089
22,223.55,37,289.12,-47.1442,-28.3271
18,191.1,5,1.47,-4.93844,-0.782172
9,119,26,190.49,4.22525,7.94652
39,359.22,22,154.01,70.8442,39.2696
12,143.54,17,109.55,-20.9668,-13.616
28,271.23,15,91.02,26.0212,85.1111
21,215.12,8,28.33,32.6753,12.5429
7,103.51,13,73.05,-88.6901,-34.0449
16,175.29,37,288.98,-54.4529,-62.6409
37,343.41,27,199.4,0.743145,0.66913
39,359.01,17,109.34,-42.4264,-42.4264
10,127.5,16,100.28,34.4771,44.1286
20,207.55,34,262.44,9.20505,3.90731
13,151.36,29,217.43,-35.8363,-33.4179
12,143.14,23,163,-11.4757,-3.50846
17,183.46,6,10.32,-3.42021,-9.39692
21,215.3,6,10.31,-31.0308,-20.1516
34,319.49,29,217.38,-89.6237,-34.4033
7,103.21,29,217.25,34.9792,14.8478
24,239.32,20,136.36,6.88292,9.82982
9,119.39,25,181.03,-2.71892,-1.26785
7,103.37,17,109.34,0,0
27,263.4,3,-16.59,-97.437,-22.4951
26,255.18,11,55.19,14.8378,23.7453
39,359.47,30,226.51,48.7185,11.2475
26,255.26,17,108.98,27.0608,33.4173
18,191.18,20,136.44,-22.9236,-31.5516
15,167.18,13,73.14,0.970296,0.241922
1,55.32,26,190.51,-2.71892,-1.26785
30,287.22,35,271.25,-13.5895,-27.8626
3,70.99,17,109.27,17.9165,62.482
19,199.36,13,73.5,12.9013,33.6089
10,127.36,1,-34.7,-8.61597,-21.3252
5,87.01,34,262.51,-64.0125,-11.2871
14,158.97,19,127.24,21.9251,9.76167
16,175.54,30,225.98,-11.8333,-25.3766
11,135.28,14,82.05,2.29431,3.27661
16,175.2,34,262.52,-30.5928,-94.1546
37,343.04,31,235.25,14.3348,37.3432
12,143.08,1,-34.75,2.63023,5.39276
6,95.49,23,163.47,52.2294,35.2291
32,303.27,12,64.16,-17.2319,-42.6504
15,167.28,13,73.53,35.2235,24.6638
12,143.22,10,46.03,55.7651,64.1503
14,159.28,6,10.29,66.8591,40.1729
14,159.14,28,208.47,-66.8359,-71.6726
5,87.05,24,172.46,-2.74064,-1.22021
34,319.42,8,28.23,36.2009,19.2483
0,47.47,30,226.12,94.2919,11.5776
37,343.05,27,199.26,-27.2882,-95.1649
6,95.15,34,262.3,-11.5768,-40.373
6,95.01,29,217.3,-24.6657,-10.9819
27,263.24,23,163.08,-6.30409,-4.92529
6,95.13,39,306.97,22.2995,21.5344
4,79.17,10,46.07,-10.4663,-13.3962
14,159.11,28,208.48,63.0485,25.4732
35,327.16,20,136.04,55.8615,55.8614
12,143.37,28,208.01,25.5974,23.8699
26,255.1,32,244.04,-9.70821,-7.05342
9,119.23,23,163.49,-98.7688,-15.6434
33,311.53,9,37.21,17.25,56.422
